,cluster,state,fips
0,0,Alabama,01125
1,0,Alabama,01101
2,0,Alabama,01083
3,0,Alabama,01073
4,0,Alabama,01051
5,0,Alabama,01003
6,0,Alabama,01117
7,0,Alabama,01081
8,0,Alabama,01115
9,0,Alabama,01089
10,0,Alabama,01121
11,0,Alabama,01015
12,0,Alabama,01127
13,0,Alabama,01097
14,0,Alabama,01017
15,0,Alabama,01129
16,0,Alabama,01077
17,0,Alabama,01075
18,0,Alabama,01071
19,0,Alabama,01043
20,0,Alabama,01093
21,0,Alabama,01123
22,0,Alabama,01069
23,0,Alabama,01059
24,0,Alabama,01103
25,0,Alabama,01001
26,0,Alabama,01131
27,0,Alabama,01113
28,0,Alabama,01109
29,0,Alabama,01107
30,0,Alabama,01095
31,0,Alabama,01079
32,0,Alabama,01055
33,0,Alabama,01047
34,0,Alabama,01033
35,0,Alabama,01029
36,0,Alabama,01027
37,0,Alabama,01021
38,0,Alabama,01019
39,0,Alabama,01013
40,0,Alabama,01009
41,0,Alabama,01091
42,0,Alabama,01085
43,0,Alabama,01049
44,0,Alabama,01041
45,0,Alabama,01037
46,0,Alabama,01023
47,0,Alabama,01011
48,0,Alabama,01133
49,0,Alabama,01111
50,0,Alabama,01063
51,0,Alabama,01053
52,0,Alabama,01039
53,0,Alabama,01099
54,0,Alabama,01087
55,0,Alabama,01119
56,0,Alabama,01065
57,0,Alabama,01057
58,0,Alabama,01007
59,0,Alabama,01045
60,0,Alabama,01035
61,0,Alabama,01025
62,0,Alabama,01031
63,0,Alabama,01067
64,0,Alabama,01005
65,0,Alabama,01105
66,0,Alabama,01061
67,0,Arizona,04013
68,0,Arizona,04021
69,0,Arizona,04019
70,0,Arizona,04009
71,0,Arizona,04017
72,0,Arizona,04005
73,0,Arizona,04025
74,0,Arizona,04023
75,0,Arizona,04027
76,0,Arizona,04003
77,0,Arizona,04001
78,0,Arizona,04015
79,0,Arizona,04012
80,0,Arizona,04007
81,0,Arizona,04011
82,0,Arkansas,05069
83,0,Arkansas,05119
84,0,Arkansas,05125
85,0,Arkansas,05051
86,0,Arkansas,05079
87,0,Arkansas,05041
88,0,Arkansas,05025
89,0,Arkansas,05023
90,0,Arkansas,05143
91,0,Arkansas,05045
92,0,Arkansas,05011
93,0,Arkansas,05141
94,0,Arkansas,05133
95,0,Arkansas,05131
96,0,Arkansas,05129
97,0,Arkansas,05115
98,0,Arkansas,05113
99,0,Arkansas,05111
100,0,Arkansas,05063
101,0,Arkansas,05055
102,0,Arkansas,05053
103,0,Arkansas,05035
104,0,Arkansas,05031
105,0,Arkansas,05019
106,0,Arkansas,05009
107,0,Arkansas,05007
108,0,Arkansas,05147
109,0,Arkansas,05145
110,0,Arkansas,05139
111,0,Arkansas,05137
112,0,Arkansas,05109
113,0,Arkansas,05075
114,0,Arkansas,05059
115,0,Arkansas,05037
116,0,Arkansas,05033
117,0,Arkansas,05029
118,0,Arkansas,05027
119,0,Arkansas,05043
120,0,Arkansas,05121
121,0,Arkansas,05085
122,0,Arkansas,05061
123,0,Arkansas,05017
124,0,Arkansas,05005
125,0,Arkansas,05071
126,0,Arkansas,05105
127,0,Arkansas,05099
128,0,Arkansas,05057
129,0,Arkansas,05003
130,0,Arkansas,05001
131,0,Arkansas,05123
132,0,Arkansas,05101
133,0,Arkansas,05127
134,0,Arkansas,05091
135,0,Arkansas,05077
136,0,Arkansas,05015
137,0,Arkansas,05135
138,0,Arkansas,05103
139,0,Arkansas,05095
140,0,Arkansas,05093
141,0,Arkansas,05117
142,0,Arkansas,05073
143,0,Arkansas,05039
144,0,Arkansas,05149
145,0,Arkansas,05107
146,0,Arkansas,05083
147,0,Arkansas,05065
148,0,Arkansas,05047
149,0,Arkansas,05021
150,0,Arkansas,05087
151,0,Arkansas,05089
152,0,Arkansas,05067
153,0,Arkansas,05049
154,0,Arkansas,05097
155,0,Arkansas,05081
156,0,Arkansas,05013
157,0,California,06059
158,0,California,06037
159,0,California,06085
160,0,California,06075
161,0,California,06073
162,0,California,06023
163,0,California,06067
164,0,California,06095
165,0,California,06097
166,0,California,06055
167,0,California,06041
168,0,California,06001
169,0,California,06081
170,0,California,06061
171,0,California,06013
172,0,California,06113
173,0,California,06087
174,0,California,06065
175,0,California,06039
176,0,California,06019
177,0,California,06089
178,0,California,06111
179,0,California,06077
180,0,California,06099
181,0,California,06107
182,0,California,06069
183,0,California,06079
184,0,California,06083
185,0,California,06071
186,0,California,06057
187,0,California,06053
188,0,California,06029
189,0,California,06045
190,0,California,06025
191,0,California,06005
192,0,California,06115
193,0,California,06093
194,0,California,06017
195,0,California,06007
196,0,California,06051
197,0,California,06047
198,0,California,06009
199,0,California,06101
200,0,California,06027
201,0,California,06031
202,0,California,06011
203,0,California,06021
204,0,California,06109
205,0,California,06003
206,0,California,06063
207,0,California,06015
208,0,California,06103
209,0,California,06033
210,0,California,06043
211,0,California,06105
212,0,California,06091
213,0,California,06035
214,0,California,06049
215,0,Colorado,08059
216,0,Colorado,08035
217,0,Colorado,08041
218,0,Colorado,08037
219,0,Colorado,08031
220,0,Colorado,08069
221,0,Colorado,08005
222,0,Colorado,08051
223,0,Colorado,08097
224,0,Colorado,08001
225,0,Colorado,08123
226,0,Colorado,08117
227,0,Colorado,08107
228,0,Colorado,08101
229,0,Colorado,08019
230,0,Colorado,08077
231,0,Colorado,08013
232,0,Colorado,08045
233,0,Colorado,08125
234,0,Colorado,08087
235,0,Colorado,08049
236,0,Colorado,08025
237,0,Colorado,08113
238,0,Colorado,08093
239,0,Colorado,08014
240,0,Colorado,08085
241,0,Colorado,08053
242,0,Colorado,08039
243,0,Colorado,08015
244,0,Colorado,08119
245,0,Colorado,08075
246,0,Colorado,08067
247,0,Colorado,08055
248,0,Colorado,08043
249,0,Colorado,08029
250,0,Colorado,08089
251,0,Colorado,08121
252,0,Colorado,08105
253,0,Colorado,08063
254,0,Colorado,08073
255,0,Colorado,08023
256,0,Colorado,08003
257,0,Colorado,08081
258,0,Colorado,08009
259,0,Colorado,08083
260,0,Colorado,08079
261,0,Colorado,08095
262,0,Colorado,08007
263,0,Colorado,08109
264,0,Colorado,08065
265,0,Colorado,08027
266,0,Colorado,08103
267,0,Colorado,08071
268,0,Colorado,08091
269,0,Colorado,08099
270,0,Colorado,08047
271,0,Colorado,08111
272,0,Colorado,08021
273,0,Colorado,08017
274,0,Colorado,08011
275,0,Colorado,08057
276,0,Colorado,08115
277,0,Colorado,08033
278,0,Colorado,08061
279,0,Connecticut,09001
280,0,Connecticut,09005
281,0,Connecticut,09009
282,0,Connecticut,09003
283,0,Connecticut,09007
284,0,Connecticut,09015
285,0,Connecticut,09013
286,0,Connecticut,09011
287,0,Delaware,10003
288,0,Delaware,10005
289,0,Delaware,10001
290,0,District of Columbia,11001
291,0,Florida,12081
292,0,Florida,12057
293,0,Florida,12113
294,0,Florida,12071
295,0,Florida,12011
296,0,Florida,12127
297,0,Florida,12091
298,0,Florida,12015
299,0,Florida,12103
300,0,Florida,12101
301,0,Florida,12089
302,0,Florida,12021
303,0,Florida,12001
304,0,Florida,12109
305,0,Florida,12086
306,0,Florida,12117
307,0,Florida,12115
308,0,Florida,12099
309,0,Florida,12031
310,0,Florida,12019
311,0,Florida,12097
312,0,Florida,12095
313,0,Florida,12017
314,0,Florida,12003
315,0,Florida,12069
316,0,Florida,12033
317,0,Florida,12105
318,0,Florida,12009
319,0,Florida,12131
320,0,Florida,12119
321,0,Florida,12073
322,0,Florida,12085
323,0,Florida,12063
324,0,Florida,12061
325,0,Florida,12053
326,0,Florida,12087
327,0,Florida,12111
328,0,Florida,12107
329,0,Florida,12083
330,0,Florida,12055
331,0,Florida,12005
332,0,Florida,12035
333,0,Florida,12027
334,0,Florida,12023
335,0,Florida,12007
336,0,Florida,12039
337,0,Florida,12133
338,0,Florida,12121
339,0,Florida,12075
340,0,Florida,12051
341,0,Florida,12129
342,0,Florida,12043
343,0,Florida,12059
344,0,Florida,12125
345,0,Florida,12013
346,0,Florida,12093
347,0,Florida,12079
348,0,Florida,12049
349,0,Florida,12045
350,0,Florida,12037
351,0,Florida,12065
352,0,Florida,12029
353,0,Florida,12047
354,0,Florida,12123
355,0,Florida,12041
356,0,Florida,12067
357,0,Florida,12077
358,0,Georgia,13121
359,0,Georgia,13233
360,0,Georgia,13135
361,0,Georgia,13067
362,0,Georgia,13057
363,0,Georgia,13115
364,0,Georgia,13113
365,0,Georgia,13089
366,0,Georgia,13049
367,0,Georgia,13185
368,0,Georgia,13177
369,0,Georgia,13015
370,0,Georgia,13151
371,0,Georgia,13129
372,0,Georgia,13077
373,0,Georgia,13217
374,0,Georgia,13095
375,0,Georgia,13063
376,0,Georgia,13059
377,0,Georgia,13285
378,0,Georgia,13223
379,0,Georgia,13139
380,0,Georgia,13117
381,0,Georgia,13313
382,0,Georgia,13245
383,0,Georgia,13153
384,0,Georgia,13073
385,0,Georgia,13247
386,0,Georgia,13225
387,0,Georgia,13175
388,0,Georgia,13127
389,0,Georgia,13103
390,0,Georgia,13099
391,0,Georgia,13021
392,0,Georgia,13321
393,0,Georgia,13287
394,0,Georgia,13277
395,0,Georgia,13273
396,0,Georgia,13261
397,0,Georgia,13255
398,0,Georgia,13243
399,0,Georgia,13227
400,0,Georgia,13219
401,0,Georgia,13215
402,0,Georgia,13207
403,0,Georgia,13201
404,0,Georgia,13181
405,0,Georgia,13171
406,0,Georgia,13149
407,0,Georgia,13097
408,0,Georgia,13085
409,0,Georgia,13051
410,0,Georgia,13045
411,0,Georgia,13187
412,0,Georgia,13009
413,0,Georgia,13289
414,0,Georgia,13267
415,0,Georgia,13069
416,0,Georgia,13065
417,0,Georgia,13055
418,0,Georgia,13035
419,0,Georgia,13013
420,0,Georgia,13303
421,0,Georgia,13229
422,0,Georgia,13211
423,0,Georgia,13195
424,0,Georgia,13179
425,0,Georgia,13145
426,0,Georgia,13047
427,0,Georgia,13033
428,0,Georgia,13257
429,0,Georgia,13253
430,0,Georgia,13235
431,0,Georgia,13205
432,0,Georgia,13199
433,0,Georgia,13193
434,0,Georgia,13159
435,0,Georgia,13155
436,0,Georgia,13133
437,0,Georgia,13111
438,0,Georgia,13081
439,0,Georgia,13071
440,0,Georgia,13039
441,0,Georgia,13029
442,0,Georgia,13017
443,0,Georgia,13007
444,0,Georgia,13317
445,0,Georgia,13311
446,0,Georgia,13299
447,0,Georgia,13275
448,0,Georgia,13269
449,0,Georgia,13183
450,0,Georgia,13169
451,0,Georgia,13157
